pwm_pct,duty_0_255,rpm
1,3,0
2,5,0
3,8,0
4,10,0
5,13,0
6,15,0
7,18,0
8,20,0
9,23,0
10,26,330
11,28,150
12,31,210
13,33,240
14,36,270
15,38,300
16,41,330
17,43,360
18,46,390
19,48,450
20,51,480
21,54,510
22,56,540
23,59,570
24,61,630
25,64,630
26,66,660
27,69,720
28,71,750
29,74,780
30,77,810
31,79,840
32,82,900
33,84,900
34,87,960
35,89,990
36,92,1020
37,94,1050
38,97,1080
39,99,1110
40,102,1140
41,105,1200
42,107,1230
43,110,1260
44,112,1320
45,115,1350
46,117,1350
47,120,1410
48,122,1440
49,125,1470
50,128,1500
51,130,1530
52,133,1560
53,135,1590
54,138,1650
55,140,1680
56,143,1710
57,145,1740
58,148,1770
59,150,1800
60,153,1830
61,156,1890
62,158,1920
63,161,1920
64,163,1980
65,166,2010
66,168,2040
67,171,2070
68,173,2100
69,176,2130
70,179,2160
71,181,2190
72,184,2220
73,186,2250
74,189,2310
75,191,2340
76,194,2370
77,196,2400
78,199,2430
79,201,2460
80,204,2490
81,207,2520
82,209,2520
83,212,2580
84,214,2580
85,217,2640
86,219,2640
87,222,2700
88,224,2700
89,227,2730
90,230,2760
91,232,2820
92,235,2850
93,237,2850
94,240,2880
95,242,2940
96,245,2940
97,247,2970
98,250,3030
99,252,3060
100,255,3060
