pwm_pct,duty_0_255,rpm
1,3,0
2,5,0
3,8,0
4,10,0
5,13,0
6,15,0
7,18,0
8,20,0
9,23,0
10,26,210
11,28,180
12,31,240
13,33,270
14,36,300
15,38,330
16,41,360
17,43,360
18,46,390
19,48,390
20,51,420
21,54,450
22,56,450
23,59,540
24,61,540
25,64,540
26,66,570
27,69,630
28,71,630
29,74,660
30,77,690
31,79,720
32,82,720
33,84,780
34,87,810
35,89,840
36,92,840
37,94,870
38,97,900
39,99,900
40,102,930
41,105,960
42,107,960
43,110,1020
44,112,1020
45,115,1050
46,117,1080
47,120,1080
48,122,1110
49,125,1170
50,128,1170
51,130,1200
52,133,1230
53,135,1230
54,138,1260
55,140,1290
56,143,1320
57,145,1320
58,148,1350
59,150,1380
60,153,1410
61,156,1410
62,158,1440
63,161,1470
64,163,1500
65,166,1500
66,168,1530
67,171,1590
68,173,1590
69,176,1620
70,179,1620
71,181,1650
72,184,1680
73,186,1710
74,189,1740
75,191,1740
76,194,1770
77,196,1770
78,199,1830
79,201,1830
80,204,1830
81,207,1860
82,209,1890
83,212,1920
84,214,1920
85,217,1950
86,219,1980
87,222,1980
88,224,2010
89,227,2040
90,230,2070
91,232,2070
92,235,2100
93,237,2100
94,240,2160
95,242,2130
96,245,2190
97,247,2220
98,250,2250
99,252,2250
100,255,2250
